MiB_Mem_free MiB_Mem_used MiB_Mem_cache MiB_Swap_free MiB_Swap_used MiB_Swap_avail 1PID 1VIRT 1RES 1SHR 1%CPU 1%MEM 1TIME+ 1COMMAND 2PID 2VIRT 2RES 2SHR 2%CPU 2%MEM 2TIME+ 2COMMAND 3PID 3VIRT 3RES 3SHR 3%CPU 3%MEM 3TIME+ 3COMMAND 4PID 4VIRT 4RES 4SHR 4%CPU 4%MEM 4TIME+ 4COMMAND 5PID 5VIRT 5RES 5SHR 5%CPU 5%MEM 5TIME+ 5COMMAND
134.0 1587.3 96.1 363.1 456.9 91.8 2525 2020488 1.4g 1668 93.8 77.3 0:20.21 mem.bash 1 186384 4188 1400 0.0 0.2 0:00.84 systemd 2 0 0 0 0.0 0.0 0:00.00 kthreadd 2 0 0 0 0.0 0.0 0:00.00 kthreadd 2 0 0 0 0.0 0.0 0:00.00 kthreadd 
68.5 1655.5 93.3 305.3 514.7 49.5 2525 2125164 1.4g 1668 83.3 79.2 0:21.32 mem.bash 49 0 0 0 6.7 0.0 0:01.12 kswapd0 1 186384 4040 1400 0.0 0.2 0:00.84 systemd 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 
67.5 1664.8 85.0 214.8 605.2 43.7 2525 2226672 1.4g 1668 93.3 79.8 0:22.39 mem.bash 1 186384 3920 1400 0.0 0.2 0:00.84 systemd 1 186384 3912 1400 0.0 0.2 0:00.84 systemd 1 186384 3908 1400 0.0 0.2 0:00.84 systemd 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 
71.1 1671.3 75.0 136.2 683.8 32.5 2525 2331480 1.4g 1668 77.8 81.0 0:23.52 mem.bash 49 0 0 0 6.2 0.0 0:01.26 kswapd0 1 186384 3676 1400 0.0 0.2 0:00.84 systemd 1 186384 3556 1328 0.0 0.2 0:00.84 systemd 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 
66.9 1695.9 54.5 44.2 775.7 31.0 49 0 0 0 42.2 0.0 0:02.24 kswapd0 1589 1051160 8020 0 3.8 0.4 0:01.29 node 2 0 0 0 0.0 0.0 0:00.00 kthreadd 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 6 0 0 0 0.0 0.0 0:00.00 kworker/0:0H-events_highpri 
1540.2 181.1 96.0 691.8 128.2 1514.2 2155 813900 25988 10736 6.7 1.4 0:02.05 node 2 0 0 0 0.0 0.0 0:00.00 kthreadd 2 0 0 0 0.0 0.0 0:00.00 kthreadd 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 
1539.2 181.9 96.2 691.8 128.2 1513.6 1 186384 2292 2096 0.0 0.1 0:00.84 systemd 1 186384 2292 2096 0.0 0.1 0:00.84 systemd 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 
1537.7 182.5 97.1 691.8 128.2 1512.6 1 186384 2292 2096 0.0 0.1 0:00.84 systemd 1 186384 2292 2096 0.0 0.1 0:00.84 systemd 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 
1538.4 181.8 97.1 691.8 128.2 1513.1 1 186384 2292 2096 0.0 0.1 0:00.84 systemd 2 0 0 0 0.0 0.0 0:00.00 kthreadd 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 6 0 0 0 0.0 0.0 0:00.00 kworker/0:0H-events_highpri 
1537.8 182.4 97.1 692.3 127.7 1513.6 1 186384 2292 2096 0.0 0.1 0:00.84 systemd 2 0 0 0 0.0 0.0 0:00.00 kthreadd 1 186384 2292 2096 0.0 0.1 0:00.84 systemd 2 0 0 0 0.0 0.0 0:00.00 kthreadd 6 0 0 0 0.0 0.0 0:00.00 kworker/0:0H-events_highpri 
1537.5 182.7 97.2 692.3 127.7 1512.7 1 186384 2292 2096 0.0 0.1 0:00.84 systemd 2 0 0 0 0.0 0.0 0:00.00 kthreadd 2 0 0 0 0.0 0.0 0:00.00 kthreadd 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 6 0 0 0 0.0 0.0 0:00.00 kworker/0:0H-events_highpri 
1538.5 181.6 97.2 692.3 127.7 1513.5 2155 813900 26700 11568 6.7 1.4 0:02.10 node 1 186384 2292 2096 0.0 0.1 0:00.84 systemd 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 6 0 0 0 0.0 0.0 0:00.00 kworker/0:0H-events_highpri 
1538.3 181.9 97.2 692.3 127.7 1514.2 1 186384 2292 2096 0.0 0.1 0:00.84 systemd 1 186384 2292 2096 0.0 0.1 0:00.84 systemd 2 0 0 0 0.0 0.0 0:00.00 kthreadd 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 6 0 0 0 0.0 0.0 0:00.00 kworker/0:0H-events_highpri 
1538.4 181.7 97.2 692.3 127.7 1513.4 1 186384 2292 2096 0.0 0.1 0:00.84 systemd 2 0 0 0 0.0 0.0 0:00.00 kthreadd 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 
1538.4 181.8 97.2 692.3 127.7 1513.4 2149 822628 22528 12400 6.2 1.2 0:00.91 node 1 186384 2292 2096 0.0 0.1 0:00.84 systemd 2 0 0 0 0.0 0.0 0:00.00 kthreadd 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 
1537.6 182.5 97.2 692.3 127.7 1513.5 1 186384 2292 2096 0.0 0.1 0:00.84 systemd 2 0 0 0 0.0 0.0 0:00.00 kthreadd 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 6 0 0 0 0.0 0.0 0:00.00 kworker/0:0H-events_highpri 
1537.1 183.1 97.2 692.3 127.7 1512.1 2149 822628 22820 12400 6.7 1.2 0:00.93 node 2 0 0 0 0.0 0.0 0:00.00 kthreadd 2 0 0 0 0.0 0.0 0:00.00 kthreadd 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 
1537.6 182.5 97.2 692.3 127.7 1512.6 1 186384 2292 2096 0.0 0.1 0:00.84 systemd 1 186384 2292 2096 0.0 0.1 0:00.84 systemd 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 6 0 0 0 0.0 0.0 0:00.00 kworker/0:0H-events_highpri 
1537.8 182.3 97.2 692.6 127.4 1513.0 1 186384 2292 2096 0.0 0.1 0:00.84 systemd 1 186384 2292 2096 0.0 0.1 0:00.84 systemd 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 1 186384 2292 2096 0.0 0.1 0:00.84 systemd 6 0 0 0 0.0 0.0 0:00.00 kworker/0:0H-events_highpri 
1537.1 183.0 97.2 692.6 127.4 1513.0 2092 153552 1924 644 6.7 0.1 0:00.22 sshd 1 186384 2292 2096 0.0 0.1 0:00.84 systemd 2 0 0 0 0.0 0.0 0:00.00 kthreadd 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 6 0 0 0 0.0 0.0 0:00.00 kworker/0:0H-events_highpri 
1536.0 183.7 97.6 692.6 127.4 1511.2 1 186384 2292 2096 0.0 0.1 0:00.84 systemd 2 0 0 0 0.0 0.0 0:00.00 kthreadd 2 0 0 0 0.0 0.0 0:00.00 kthreadd 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 6 0 0 0 0.0 0.0 0:00.00 kworker/0:0H-events_highpri 
1536.7 183.0 97.6 692.6 127.4 1512.5 1 186384 2292 2096 0.0 0.1 0:00.84 systemd 2 0 0 0 0.0 0.0 0:00.00 kthreadd 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 
1537.1 182.5 97.7 692.6 127.4 1513.4 896 626400 5908 1424 6.2 0.3 0:00.20 tuned 2 0 0 0 0.0 0.0 0:00.00 kthreadd 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 2 0 0 0 0.0 0.0 0:00.00 kthreadd 6 0 0 0 0.0 0.0 0:00.00 kworker/0:0H-events_highpri 
1537.3 182.3 97.7 692.6 127.4 1512.5 2155 813900 26856 11568 6.7 1.4 0:02.19 node 2 0 0 0 0.0 0.0 0:00.00 kthreadd 2 0 0 0 0.0 0.0 0:00.00 kthreadd 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 6 0 0 0 0.0 0.0 0:00.00 kworker/0:0H-events_highpri 
1536.7 183.0 97.7 692.6 127.4 1512.0 1 186384 2292 2096 0.0 0.1 0:00.84 systemd 2 0 0 0 0.0 0.0 0:00.00 kthreadd 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 6 0 0 0 0.0 0.0 0:00.00 kworker/0:0H-events_highpri 
1537.2 182.4 97.7 692.6 127.4 1513.0 1 186384 2292 2096 0.0 0.1 0:00.84 systemd 1 186384 2292 2096 0.0 0.1 0:00.84 systemd 2 0 0 0 0.0 0.0 0:00.00 kthreadd 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 6 0 0 0 0.0 0.0 0:00.00 kworker/0:0H-events_highpri 
1537.1 182.3 97.9 692.6 127.4 1512.4 1 186384 2292 2096 0.0 0.1 0:00.84 systemd 2 0 0 0 0.0 0.0 0:00.00 kthreadd 1 186384 2292 2096 0.0 0.1 0:00.84 systemd 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 
1537.1 182.3 97.9 692.6 127.4 1512.4 1 186384 2292 2096 0.0 0.1 0:00.84 systemd 1 186384 2292 2096 0.0 0.1 0:00.84 systemd 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 6 0 0 0 0.0 0.0 0:00.00 kworker/0:0H-events_highpri 
1537.2 182.2 97.9 692.6 127.4 1512.6 1589 1051416 18068 9724 6.7 1.0 0:01.51 node 2 0 0 0 0.0 0.0 0:00.00 kthreadd 2 0 0 0 0.0 0.0 0:00.00 kthreadd 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 
1534.8 184.6 98.0 692.6 127.4 1510.9 1 186384 2292 2096 0.0 0.1 0:00.84 systemd 2 0 0 0 0.0 0.0 0:00.00 kthreadd 2 0 0 0 0.0 0.0 0:00.00 kthreadd 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 6 0 0 0 0.0 0.0 0:00.00 kworker/0:0H-events_highpri 
1536.3 183.1 98.0 692.6 127.4 1511.6 1 186384 2292 2096 0.0 0.1 0:00.84 systemd 2 0 0 0 0.0 0.0 0:00.00 kthreadd 2 0 0 0 0.0 0.0 0:00.00 kthreadd 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 6 0 0 0 0.0 0.0 0:00.00 kworker/0:0H-events_highpri 
1536.4 182.9 98.0 692.6 127.4 1511.7 1 186384 2292 2096 0.0 0.1 0:00.84 systemd 2 0 0 0 0.0 0.0 0:00.00 kthreadd 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 
1536.1 183.3 98.0 692.6 127.4 1512.3 2149 822468 23196 13552 6.7 1.2 0:01.09 node 2 0 0 0 0.0 0.0 0:00.00 kthreadd 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 6 0 0 0 0.0 0.0 0:00.00 kworker/0:0H-events_highpri 
1534.8 184.5 98.0 692.6 127.4 1510.5 1 186384 2292 2096 0.0 0.1 0:00.84 systemd 2 0 0 0 0.0 0.0 0:00.00 kthreadd 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 6 0 0 0 0.0 0.0 0:00.00 kworker/0:0H-events_highpri 
1536.8 182.5 98.0 693.3 126.7 1512.0 1 186384 2292 2096 0.0 0.1 0:00.84 systemd 2 0 0 0 0.0 0.0 0:00.00 kthreadd 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 2 0 0 0 0.0 0.0 0:00.00 kthreadd 6 0 0 0 0.0 0.0 0:00.00 kworker/0:0H-events_highpri 
1535.4 183.8 98.1 693.3 126.7 1510.9 1 186384 2292 2096 0.0 0.1 0:00.84 systemd 2 0 0 0 0.0 0.0 0:00.00 kthreadd 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 
1536.1 183.1 98.1 693.3 126.7 1511.6 1 186384 2292 2096 0.0 0.1 0:00.84 systemd 1 186384 2292 2096 0.0 0.1 0:00.84 systemd 2 0 0 0 0.0 0.0 0:00.00 kthreadd 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 6 0 0 0 0.0 0.0 0:00.00 kworker/0:0H-events_highpri 
1535.4 183.6 98.4 693.6 126.4 1511.1 1 186384 2292 2096 0.0 0.1 0:00.84 systemd 1539 865056 38504 15332 6.2 2.1 0:04.50 node 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 
